"RowGene","ColGene","Correlation","PValue"
"RNA_127682","RNA_127742",0.887246148311568,0
"RNA_127682","RNA_127743",0.891714955535275,0
"RNA_127682","RNA_127744",0.88914439545906,0
"RNA_127682","RNA_127745",0.868049145073474,0
"RNA_127682","RNA_127746",0.887902974842291,0
"RNA_127682","RNA_127747",0.889755617531872,0
"RNA_127682","RNA_127748",0.889724310520495,0
"RNA_127682","RNA_127749",0.882325081734876,0
"RNA_127682","RNA_127750",0.893358972294054,0
"RNA_127682","RNA_127751",0.883472048786511,0
"RNA_127682","RNA_127762",0.894611797345588,0
"RNA_127682","RNA_127763",0.886552293808539,0
"RNA_127682","RNA_127764",0.886624860633743,0
"RNA_127682","RNA_127765",0.859850270988173,0
"RNA_127682","RNA_127766",0.876994159347192,0
"RNA_127682","RNA_127767",0.886163398086325,0
"RNA_127682","RNA_127769",0.859094919194598,0
"RNA_127682","RNA_127770",0.891716944535884,0
"RNA_127682","RNA_127771",0.880355321418234,0
"RNA_127682","RNA_127782",0.885120207716686,0
"RNA_127682","RNA_127783",0.881390649882488,0
"RNA_127682","RNA_127784",0.891707122483395,0
"RNA_127682","RNA_127787",0.892279213515816,0
"RNA_127682","RNA_127788",0.889871785166818,0
"RNA_127682","RNA_127789",0.889808619524632,0
"RNA_127682","RNA_127790",0.86935231246501,0
"RNA_127682","RNA_127791",0.866538930958559,0
"RNA_127682","RNA_127900",0.884564126047844,0
"RNA_127682","RNA_127901",0.858538266132021,0
"RNA_127682","RNA_127902",0.871616746813137,0
"RNA_127682","RNA_127903",0.886057870078558,0
"RNA_127682","RNA_127904",0.889670985946655,0
"RNA_127682","RNA_127905",0.891283501974427,0
"RNA_127682","RNA_127906",0.843262732613499,0
"RNA_127682","RNA_127907",0.875540943116005,0
"RNA_127682","RNA_127908",0.83345428386679,0
"RNA_127682","RNA_128031",0.893489979048908,0
"RNA_127682","RNA_128032",0.893881909773249,0
"RNA_127682","RNA_128033",0.892341838500348,0
"RNA_127682","RNA_128034",0.88489474735855,0
"RNA_127682","RNA_128035",0.887343009870549,0
"RNA_127682","RNA_128036",0.8905121259785,0
"RNA_127682","RNA_128037",0.894081858337604,0
"RNA_127682","RNA_128038",0.889783949753767,0
"RNA_127682","RNA_128039",0.892220225274104,0
"RNA_127682","RNA_128113",0.85042148017086,0
"RNA_127682","RNA_128114",0.861897305321953,0
"RNA_127682","RNA_128115",0.886714816509575,0
"RNA_127682","RNA_128116",0.883761175708564,0
"RNA_127682","RNA_128117",0.89613879579866,0
"RNA_127682","RNA_128118",0.889163949657861,0
"RNA_127682","RNA_128119",0.882620377576884,0
"RNA_127682","RNA_128120",0.844396250820432,0
"RNA_127682","RNA_128121",0.886879605067718,0
"RNA_127682","RNA_128122",0.885103898902629,0
"RNA_127682","RNA_128133",0.865737078701742,0
"RNA_127682","RNA_128134",0.876389464587755,0
"RNA_127682","RNA_128136",0.868447233411803,0
"RNA_127682","RNA_128137",0.873707737939991,0
"RNA_127682","RNA_128139",0.867140003535217,0
"RNA_127682","RNA_128140",0.882725795463802,0
"RNA_127682","RNA_128141",0.890827381518026,0
"RNA_127682","RNA_128142",0.877652394220601,0
"RNA_127682","RNA_128153",0.859878034429994,0
"RNA_127682","RNA_128155",0.875996940563117,0
"RNA_127682","RNA_128156",0.884498752355706,0
"RNA_127682","RNA_128157",0.88859015410664,0
"RNA_127682","RNA_128158",0.87924591507916,0
"RNA_127682","RNA_128159",0.88845127253964,0
"RNA_127682","RNA_128160",0.858190235306586,0
"RNA_127682","RNA_128161",0.873509615247616,0
"RNA_127682","RNA_128162",0.88912952555392,0
