"RowGene","ColGene","Correlation","PValue"
"Mel_10","Mel_30",0.647862144667366,0
"Mel_10","Mel_31",0.700426633373942,0
"Mel_10","Mel_32",0.713592008443447,0
"Mel_10","Mel_33",0.769270938308358,0
"Mel_10","Mel_34",0.740101445805396,0
"Mel_10","Mel_35",0.623018168753117,0
"Mel_10","Mel_36",0.684417675532348,0
"Mel_10","Mel_37",0.655688654615956,0
"Mel_10","Mel_38",0.662326616008989,0
"Mel_10","Mel_39",0.7147659252999,0
"Mel_10","Mel_4",0.728692362775178,0
"Mel_10","Mel_40",0.633102998491333,0
"Mel_10","Mel_41",0.657137752526784,0
"Mel_10","Mel_42",0.727413477662712,0
"Mel_10","Mel_43",0.695847607398378,0
"Mel_10","Mel_44",0.711242936005242,0
"Mel_10","Mel_45",0.6819067833567,0
"Mel_10","Mel_46",0.638949062767473,0
"Mel_10","Mel_47",0.693550199951243,0
"Mel_10","Mel_48",0.711627581490799,0
"Mel_10","Mel_49",0.674379304815381,0
"Mel_10","Mel_5",0.712156411333678,0
"Mel_10","Mel_50",0.699296853760189,0
"Mel_10","Mel_51",0.691626823457414,0
"Mel_10","Mel_52",0.67749830034455,0
"Mel_10","Mel_53",0.751107836389338,0
"Mel_10","Mel_54",0.64133359390211,0
"Mel_10","Mel_55",0.759441870556187,0
"Mel_10","Mel_56",0.694481842537395,0
"Mel_10","Mel_57",0.760094906364959,0
"Mel_10","Mel_6",0.732575882503276,0
"Mel_10","Mel_7",0.756241130763824,0
"Mel_10","Mel_8",0.727184550939135,0
"Mel_10","Mel_9",0.77002031843495,0
"Mel_10","Naevi_1",0.749194287726525,0
"Mel_10","Naevi_10",0.685239032865701,0
"Mel_10","Naevi_11",0.730491406480241,0
"Mel_10","Naevi_12",0.692765136658962,0
"Mel_10","Naevi_13",0.683734192348684,0
"Mel_10","Naevi_14",0.608283809238291,0
"Mel_10","Naevi_15",0.63578033806233,0
"Mel_10","Naevi_16",0.708226215853449,0
"Mel_10","Naevi_17",0.753041540691823,0
"Mel_10","Naevi_18",0.698063965924404,0
"Mel_10","Naevi_19",0.758387667637174,0
"Mel_10","Naevi_2",0.721374401243744,0
"Mel_10","Naevi_20",0.739730638676636,0
"Mel_10","Naevi_21",0.756165611115755,0
"Mel_10","Naevi_22",0.750410441181658,0
"Mel_10","Naevi_23",0.728005650355855,0
