"gene_id","Sample","expression","condition"
"CSAG1","Mel_30",4.11989761078737,"melanoma"
"CSAG1","Mel_31",-4.60517018598809,"melanoma"
"CSAG1","Mel_32",-4.60517018598809,"melanoma"
"CSAG1","Mel_33",-4.60517018598809,"melanoma"
"CSAG1","Mel_34",3.09247082430927,"melanoma"
"CSAG1","Mel_35",-4.60517018598809,"melanoma"
"CSAG1","Mel_36",1.70046566633648,"melanoma"
"CSAG1","Mel_37",2.1250954453384,"melanoma"
"CSAG1","Mel_38",1.28861214131513,"melanoma"
"CSAG1","Mel_39",3.44926186420638,"melanoma"
"CSAG1","Mel_40",-4.60517018598809,"melanoma"
"CSAG1","Mel_41",5.88145154318912,"melanoma"
"CSAG1","Mel_42",4.89751635141639,"melanoma"
"CSAG1","Mel_43",4.06490342326386,"melanoma"
"CSAG1","Mel_44",2.01519671019066,"melanoma"
"CSAG1","Mel_45",6.26127698251958,"melanoma"
"CSAG1","Mel_46",6.22172418641471,"melanoma"
"CSAG1","Mel_47",2.09325117369644,"melanoma"
"CSAG1","Mel_48",5.16508020270735,"melanoma"
"CSAG1","Mel_49",2.09944998561147,"melanoma"
"CSAG1","Mel_50",3.80105181352375,"melanoma"
"CSAG1","Mel_51",-4.60517018598809,"melanoma"
"CSAG1","Mel_52",-4.60517018598809,"melanoma"
"CSAG1","Mel_53",-4.60517018598809,"melanoma"
"CSAG1","Mel_54",5.27265765596556,"melanoma"
"CSAG1","Mel_55",-4.60517018598809,"melanoma"
"CSAG1","Mel_56",4.27388176895914,"melanoma"
"CSAG1","Mel_57",-4.60517018598809,"melanoma"
"CSAG1","Naevi_1",-4.60517018598809,"naevi"
"CSAG1","Naevi_2",-4.60517018598809,"naevi"
"CSAG1","Naevi_3",-4.60517018598809,"naevi"
"CSAG1","Naevi_4",-4.60517018598809,"naevi"
"CSAG1","Naevi_5",-4.60517018598809,"naevi"
"CSAG1","Naevi_6",-4.60517018598809,"naevi"
"CSAG1","Naevi_7",-4.60517018598809,"naevi"
"CSAG1","Naevi_8",-4.60517018598809,"naevi"
