"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","short_ensembl","symbol"
"ENSG00000162959.14",43.6507283569234,0.0105653000185355,0.163300458093884,0.0646985326425805,0.948414031158148,0.985584253389952,"ENSG00000162959.14","ENSG00000162959","MEMO1"
"ENSG00000281195.1",14.0202538218696,-0.0167996231060125,0.259080755887362,-0.0648431916468404,0.948298851829623,0.985584253389952,"ENSG00000281195.1","ENSG00000281195",NA
"ENSG00000164035.10",420.390871264005,0.0219724223190833,0.339733396847306,0.0646754853157956,0.948432381830805,0.985584253389952,"ENSG00000164035.10","ENSG00000164035","EMCN"
"ENSG00000176788.9",191.594490156369,0.017468236299015,0.269090069473415,0.0649159455538391,0.948240924657008,0.985584253389952,"ENSG00000176788.9","ENSG00000176788","BASP1"
"ENSG00000291186.1",104.307012126556,-0.0162302467753815,0.250733602194716,-0.0647310397701595,0.948388148478102,0.985584253389952,"ENSG00000291186.1","ENSG00000291186",NA
"ENSG00000259100.1",1.39124724854288,-0.0417345522062155,0.642478718008272,-0.0649586531606766,0.948206920687389,0.985584253389952,"ENSG00000259100.1","ENSG00000259100",NA
"ENSG00000108591.10",665.427220898404,-0.00848687327810524,0.131070062698498,-0.064750661618494,0.948372525283947,0.985584253389952,"ENSG00000108591.10","ENSG00000108591","DRG2"
"ENSG00000122735.16",67.8957822472897,-0.0355202286224994,0.550436513995568,-0.0645310180544917,0.948547409738317,0.985625418061347,"ENSG00000122735.16","ENSG00000122735","DNAI1"
"ENSG00000173706.15",3612.04227455406,0.014065998260343,0.218686061931553,0.0643205064653165,0.948715025464144,0.985731869630042,"ENSG00000173706.15","ENSG00000173706","HEG1"
"ENSG00000157227.14",5844.85189753494,0.0172059002472279,0.267602907918783,0.0642963874385469,0.948734229911411,0.985731869630042,"ENSG00000157227.14","ENSG00000157227","MMP14"
"ENSG00000169372.13",229.735554251207,-0.0226449083111822,0.352794965207534,-0.0641871640596153,0.948821197915086,0.98577839530831,"ENSG00000169372.13","ENSG00000169372","CRADD"
"ENSG00000265681.8",2.61750035849166,-0.0313985258637845,0.489739504911218,-0.0641127079782476,0.948880483161521,0.985796157109604,"ENSG00000265681.8","ENSG00000265681","RPL17"
"ENSG00000238098.9",1.56921911133833,-0.0585561738027764,0.914906866453723,-0.0640023328601155,0.94896836926461,0.985799800659622,"ENSG00000238098.9","ENSG00000238098","ABCA17P"
"ENSG00000214185.3",13.9023059191031,-0.0164988633085278,0.257765317797872,-0.0640073049760149,0.94896441020778,0.985799800659622,"ENSG00000214185.3","ENSG00000214185","XPOTP1"
"ENSG00000258876.1",10.2925862955286,0.024411945946769,0.381847571727592,0.0639311279009109,0.949025066488241,0.985801005649127,"ENSG00000258876.1","ENSG00000258876",NA
"ENSG00000010310.9",156.807103633813,-0.0246542459876678,0.385856204983251,-0.0638949061055997,0.94905390833164,0.985801005649127,"ENSG00000010310.9","ENSG00000010310","GIPR"
"ENSG00000265458.3",3.27547249297754,-0.0280019728812921,0.43958311660225,-0.0637012019427243,0.949208147680845,0.985917388811817,"ENSG00000265458.3","ENSG00000265458",NA
"ENSG00000036549.13",2080.92541401035,0.00909907138238389,0.143730904605553,0.0633062973294077,0.949522601280453,0.98612336380728,"ENSG00000036549.13","ENSG00000036549","ZZZ3"
"ENSG00000113595.15",1036.86759878047,0.00612051007288135,0.0967820165860654,0.0632401585416291,0.949575266869118,0.98612336380728,"ENSG00000113595.15","ENSG00000113595","TRIM23"
"ENSG00000169246.17",39172.4497910995,-0.0146976649501548,0.232291165712884,-0.0632725954301741,0.94954943770429,0.98612336380728,"ENSG00000169246.17","ENSG00000169246","NPIPB3"
"ENSG00000184867.14",642.574152115359,-0.0198589568484037,0.313913700623183,-0.0632624724852073,0.94955749849684,0.98612336380728,"ENSG00000184867.14","ENSG00000184867","ARMCX2"
"ENSG00000228886.1",2.73896659345017,-0.0291651954797285,0.461977979600699,-0.0631311377761703,0.949662079385279,0.986125862008552,"ENSG00000228886.1","ENSG00000228886",NA
"ENSG00000207507.1",6.87812206373273,0.0323949324197719,0.512729695825454,0.0631813071946587,0.949622129734104,0.986125862008552,"ENSG00000207507.1","ENSG00000207507","RNU6-9"
"ENSG00000137337.16",7351.94902684477,0.0107910348468739,0.172305875356446,0.0626272019137515,0.950063367935314,0.986454881584454,"ENSG00000137337.16","ENSG00000137337","MDC1"
"ENSG00000082397.18",3950.6287362645,-0.0178814477477796,0.285332241121593,-0.062668865170969,0.95003019063629,0.986454881584454,"ENSG00000082397.18","ENSG00000082397","EPB41L3"
"ENSG00000238184.1",1.70734867695392,0.0517976014374822,0.828362839702035,0.0625300882112408,0.950140701887581,0.986491341493233,"ENSG00000238184.1","ENSG00000238184","CD81-AS1"
"ENSG00000165689.17",604.273161500129,-0.00967966297391209,0.154987804200596,-0.0624543526107641,0.950201012274438,0.986510124091554,"ENSG00000165689.17","ENSG00000165689","ENTR1"
"ENSG00000102572.15",3254.44031482843,0.0102695778609696,0.1646095246111,0.0623875069515702,0.950254243588259,0.986521555768572,"ENSG00000102572.15","ENSG00000102572","STK24"
"ENSG00000102098.19",172.578055618838,0.0258763176765476,0.415376985039419,0.0622959831876383,0.950327127217856,0.986553387887525,"ENSG00000102098.19","ENSG00000102098","SCML2"
"ENSG00000124688.14",177.051155563931,0.0117810903341937,0.18960922340555,0.0621335298072257,0.950456495647728,0.986643852561412,"ENSG00000124688.14","ENSG00000124688","MAD2L1BP"
"ENSG00000181751.10",126.528246976467,0.0175523358472678,0.282854181387449,0.0620543622907411,0.950519540529846,0.986665463528227,"ENSG00000181751.10","ENSG00000181751","MACIR"
"ENSG00000152078.10",34.0047549955038,0.0329637040112968,0.532025478151389,0.0619588823562261,0.950595576183096,0.986670216172989,"ENSG00000152078.10","ENSG00000152078","TLCD4"
"ENSG00000224934.6",6.44819841714038,0.0264871054182546,0.427607517981973,0.0619425625238217,0.950608572562113,0.986670216172989,"ENSG00000224934.6","ENSG00000224934",NA
"ENSG00000258634.3",58.5276890584574,-0.0116896428999686,0.189509256612963,-0.0616837568195544,0.950814675514914,0.986752640820851,"ENSG00000258634.3","ENSG00000258634",NA
"ENSG00000229989.6",11.1060357902693,-0.0238907671726117,0.387200003547573,-0.0617013609341985,0.950800656167654,0.986752640820851,"ENSG00000229989.6","ENSG00000229989",NA
"ENSG00000154582.18",713.921892064475,-0.0081923764568249,0.132700834631351,-0.061735681464127,0.950773324451966,0.986752640820851,"ENSG00000154582.18","ENSG00000154582","ELOC"
"ENSG00000188428.20",44.1438605720549,0.0127405519324549,0.207091890778327,0.0615212497436345,0.950944091610031,0.986755468716581,"ENSG00000188428.20","ENSG00000188428","BLOC1S5"
"ENSG00000046647.14",243.839488430806,-0.00998344959509962,0.162142963939023,-0.0615718952741858,0.950903758785499,0.986755468716581,"ENSG00000046647.14","ENSG00000046647","GEMIN8"
"ENSG00000155008.16",1286.60532807761,0.00671760211632499,0.109053578912048,0.0615990981987188,0.950882095113684,0.986755468716581,"ENSG00000155008.16","ENSG00000155008","APOOL"
"ENSG00000031081.11",9458.77511431438,-0.0123166600735671,0.203492617901093,-0.0605263237586022,0.951736450951171,0.986773069930326,"ENSG00000031081.11","ENSG00000031081","ARHGAP31"
"ENSG00000239213.7",3.68510665887772,-0.024123912076175,0.395504835018031,-0.0609952393504246,0.951363000446045,0.986773069930326,"ENSG00000239213.7","ENSG00000239213",NA
"ENSG00000219553.2",7.10596509882516,0.0241257173799125,0.395439736509178,0.0610098458816684,0.951351367784798,0.986773069930326,"ENSG00000219553.2","ENSG00000219553",NA
"ENSG00000240230.6",101.644361550332,0.00849781895956841,0.140971680680075,0.0602803266483966,0.951932370508409,0.986773069930326,"ENSG00000240230.6","ENSG00000240230","COX19"
"ENSG00000164733.23",14835.844656175,0.0189431982308165,0.311598055122535,0.0607936985465687,0.951523508871928,0.986773069930326,"ENSG00000164733.23","ENSG00000164733","CTSB"
"ENSG00000168615.13",23390.2542974856,0.0140406451271998,0.230103152688452,0.0610189167908102,0.951344143705701,0.986773069930326,"ENSG00000168615.13","ENSG00000168615","ADAM9"
"ENSG00000227355.5",2.12225692231974,0.047155610434032,0.779723012430527,0.060477387074982,0.95177542537772,0.986773069930326,"ENSG00000227355.5","ENSG00000227355",NA
"ENSG00000224777.3",2.95567566855881,-0.0658675999576499,1.07991778166309,-0.0609931617721979,0.951364655032998,0.986773069930326,"ENSG00000224777.3","ENSG00000224777","OR4F2P"
"ENSG00000166311.10",942.244958060705,-0.0103941546569697,0.170815381427907,-0.0608502265433079,0.951478489403651,0.986773069930326,"ENSG00000166311.10","ENSG00000166311","SMPD1"
"ENSG00000173451.7",77.5108561048838,-0.0111247004511312,0.184542496083473,-0.0602825944550963,0.951930564345106,0.986773069930326,"ENSG00000173451.7","ENSG00000173451","THAP2"
"ENSG00000229622.1",1.67996036833025,0.0318798647594939,0.52273052779578,0.0609871875934301,0.951369412880641,0.986773069930326,"ENSG00000229622.1","ENSG00000229622","MTND5P2"
"ENSG00000138613.14",235.790485650237,0.0118808075480196,0.196722001619761,0.0603938931598699,0.951841922333579,0.986773069930326,"ENSG00000138613.14","ENSG00000138613","APH1B"
"ENSG00000261056.2",20.9713850775618,0.0174557600043055,0.284745951606458,0.0613029260146632,0.951117960564401,0.986773069930326,"ENSG00000261056.2","ENSG00000261056",NA
"ENSG00000140955.11",1.5038707310402,0.0509165300173242,0.84357959272011,0.0603577071526169,0.951870742014896,0.986773069930326,"ENSG00000140955.11","ENSG00000140955","ADAD2"
"ENSG00000214087.9",81.2232099344237,0.0127261547936662,0.209529186529345,0.060736907370582,0.951568738094613,0.986773069930326,"ENSG00000214087.9","ENSG00000214087","ARL16"
"ENSG00000266258.1",2.49507848845328,-0.0310882527897859,0.515522575260839,-0.060304348018234,0.951913239032951,0.986773069930326,"ENSG00000266258.1","ENSG00000266258","LINC01909"
"ENSG00000129932.10",26.4569734936665,0.0134585981130604,0.22194802246198,0.0606385133049153,0.951647100762719,0.986773069930326,"ENSG00000129932.10","ENSG00000129932","DOHH"
"ENSG00000101104.13",1915.74803098034,0.0132585305400396,0.21738156416506,0.0609919732198277,0.95136560159829,0.986773069930326,"ENSG00000101104.13","ENSG00000101104","PABPC1L"
"ENSG00000166979.13",277.490544455887,0.0217457348619591,0.357165163575366,0.0608842549040214,0.951451388947704,0.986773069930326,"ENSG00000166979.13","ENSG00000166979","EVA1C"
