"","Patient_2_PD1_PRE","Patient_3_PD1_PRE","Patient_4_PD1_PRE","Patient_5_PD1_PRE","Patient_6_PD1_PRE","Patient_7_PD1_PRE","Patient_8_PD1_PRE","Patient_9_PD1_PRE","Patient_10_PD1_PRE","Patient_11_PD1_PRE","Patient_12_PD1_PRE","Patient_13_PD1_PRE","Patient_14_PD1_PRE","Patient_15_PD1_PRE","Patient_16_PD1_PRE","Patient_17_PD1_PRE","Patient_18_PD1_PRE","Patient_19_PD1_PRE","Patient_21_PD1_PRE","Patient_23_PD1_PRE","Patient_25_PD1_PRE","Patient_27_PD1_PRE","Patient_29_PD1_PRE","Patient_30_PD1_PRE","Patient_34_PD1_PRE","Patient_35_PD1_PRE","Patient_36_PD1_PRE","Patient_38_PD1_PRE","Patient_40_PD1_PRE","Patient_41_PD1_PRE","Patient_42_PD1_PRE","Patient_44_PD1_PRE","Patient_45_PD1_PRE","Patient_46_PD1_PRE","Patient_47_PD1_PRE","Patient_48_PD1_PRE","Patient_49_PD1_PRE","Patient_50_PD1_PRE","Patient_52_PD1_PRE","Patient_53_PD1_PRE","Patient_54_PD1_PRE"
"ENSG00000189433.7",2.22380489867773,1.51328274268137,21.8542959801165,0.76379725266711,0.0531928177674437,0.884858193693811,7.11141950578432,0,0.159817335178584,0,0,0,0,2.14359521250573,1.02150312601663,0.0581375220410247,0.0285897145528566,4.8785097930528,0,0,0,0,0,0,0,0,0,0,2.62478469761138,0,0,0,0.353431159997226,0,0,0,0,0,0.163301980681232,0.0883672812846726,0
"ENSG00000116819.9",1.82228456974981,2.76898544405527,1.51977023505678,0.483738260022503,3.1649726571629,1.67817933286757,2.0110161717177,0.454924450554333,0.372907115416697,3.65489319728207,1.8836728550568,1.77219492221581,1.93790441286484,1.35384960789836,1.91531836128119,6.07537105328708,6.28973720162845,1.27383311263045,1.27674015012904,2.72623726736944,0.630887524827216,0.950362392444342,0.843642624231583,0.992670039343484,1.04277667793062,1.27953504953298,0.0573123789723747,2.44513094406569,0.530855332101179,0.553111203505265,1.37484366738586,1.44275797832912,0.815610369224367,2.21018388819552,1.15519887732153,0.676749700095148,0.253368869912624,0.403838870767442,0.770785348815415,0.835472477600541,0.903653854399968
"ENSG00000201448.1",0.216203254038113,0.1931850309806,0.21276783290795,0,0.132982044418609,0.244098812053465,0.0291451619089521,0.0568655563192916,0.026636222529764,0.0456861649660258,0,0.0268514382153911,0.142492971534179,0.0846156004936474,0.0510751563008318,0.087206283061537,0.114358858211426,0.16261699310176,3.70412265778177,0.0534556326935184,0,0,0.052727664014474,0.0283620011240996,0,0.0290803420348405,0,0.0952648419765854,0.0589839257890199,0,0,0,0.0543740246149578,0.02986734984048,0.0312215912789603,0.032226176195007,0,0.0538451827689923,24.9786709650012,14.2592658436631,0.0291501243354828
"ENSG00000158315.11",1.6060813157117,1.4488877323545,10.3344375983861,3.15702864435739,5.85120995441881,6.46861851941683,6.03304851515309,2.21775669645237,1.94444424467278,0.662449392007374,0.787206566292394,1.23516615790799,1.93790441286484,5.16155163011249,1.07257828231747,0.465100176328198,0.371666289187136,5.80000608729611,0.0866922324161692,0.588011959628703,0.114706822695858,0.513709401321266,0.342729816094081,0.283620011240996,0.0802135906100473,1.19229402342846,1.34684090585081,0.285794525929756,1.00272673841334,0.608422323855791,0.446824191900404,0.435549578363508,0.924358418454283,0.26880614856432,0.374659095347524,0.0966785285850211,1.49206112281879,0.215380731075969,0.4507134666802,0.329368957515598,1.39920596810318
"ENSG00000117385.16",93.9557569691343,79.044875176229,45.3499438140944,192.756966664756,68.5389456933512,68.9579144051039,51.5869365788453,105.201279190689,166.103483695609,96.3978080783145,57.8315681022662,61.4897935132457,92.7914230630574,74.2924972334224,117.243021288559,73.7765154700603,108.297838726221,61.4421205602817,85.9592889966507,74.9447970363128,38.8569361882217,75.9776204554152,80.0933216379859,88.8014255195557,606.708861510861,69.4438567791992,64.7629882387834,59.8580757086212,62.1100738558379,57.357631803496,55.8873950792352,55.5870149386428,65.5478866733316,48.9525863885467,59.7581257079301,63.3244362231888,42.9319474018613,80.1754771430295,49.735251236276,39.25113966881,91.0649884240484
"ENSG00000234093.3",0.123544716593207,0.0965925154903002,0.091186214103407,0.025459908422237,0.212771271069775,0.183074109040099,0.0582903238179043,0.0852983344789374,0.106544890119056,0.274116989796155,0.365488762921469,0.161108629292347,0.0854957829205074,0.197436401151844,0.204300625203327,0.261618849184611,0.371666289187136,0.08130849655088,0.591083402837517,0.213822530774074,0.344120468087573,0.0256854700660633,0.922734120253294,0.198534007868697,0.347592225976872,0.145401710174203,0.54446760023756,0.41281431523187,0.324411591839609,0.248900041577369,0.343710916846465,0.190552940534035,0.299057135382268,0.686949046331039,0.187329547673762,0.32226176195007,0.929019189679622,0.161535548306977,2.24703525417375,2.71528555220176,0.495552113703208
"ENSG00000184292.7",5.06533338032151,4.86182327967844,52.9183995846772,2.97880928540173,1.86174862186053,5.6142726772297,15.0389035450193,0.341193337915749,1.01217645613103,0.182744659864103,3.23316982584376,0.429623011446258,1.82391003563749,22.5077497313102,2.2473068772366,0.087206283061537,0.171538287317139,14.1205755676695,0.0788111203783356,0.0267278163467592,0.172060234043786,0.308225640792759,0.26363832007237,0.283620011240996,0,0.319883762383246,0.200593326403312,1.39721768232325,3.12614806681805,2.21244481402106,0.0687421833692929,0.0544436972954386,3.58868562458722,0.11946939936192,0.187329547673762,0.032226176195007,0.197064676598708,0.646142193227907,0.548694655088939,1.55044411708562,0.20405087034838
"ENSG00000234383.1",1.35899188252528,1.86745529947914,2.79637723250448,5.34658076866977,2.50006243506985,2.37996341752128,2.82708070516836,2.3599205872506,3.11643803598239,1.32489878401475,1.71498573370843,3.11476683298537,2.02340019578534,0.958976805594671,0.561826719309149,3.51732008348199,5.03178976130276,3.84860217007499,1.58410351960455,1.68385242984583,0.286767056739644,1.23290256317104,0.949097952260531,1.70172006744597,3.23528148793858,3.08251625569309,1.28952852687843,0.793873683138212,0.648823183679219,1.05091128666,0.206226550107879,0.871099156727017,1.79434281229361,1.88164303995024,0.624431825579207,1.12791616682525,0.816410803051789,0.915368107072869,1.90083505512954,0.795305531562054,1.42835609243866
"ENSG00000033122.21",0.957471553597358,0.740542618758968,2.40123697138972,0.611037802133688,81.1722399131191,28.8036598223089,3.3516936195295,0.312760559756104,0.399543337946461,0.685292474490387,0.0843435606741851,0.134257191076956,0.199490160147851,0.197436401151844,0.102150312601664,24.795653150497,35.7943226201764,0.514953811488907,0.378293377816011,1.01565702117685,0.372797173761537,0.590765811519456,0.158182992043422,0.822498032598887,1.63100967573763,3.69320343842475,0.42984284229281,0.889138525114797,0.619331220784709,0.719044564556844,0.309339825161818,0.190552940534035,0.163122073844873,0.2986734984048,0.218551138952722,0.451166466730099,2.39292821584145,0.430761462151938,5.0101047673002,1.67897834440878,0
"ENSG00000172260.15",8.70990251982113,4.76523076418814,16.4439139433144,7.81619188562676,2.52665884395358,5.30914916216287,9.5596131061363,12.3966912776056,15.6354626249715,58.5468204039621,1.63064217303424,47.231679820873,8.63507407497125,10.323103260225,4.29031312926987,1.54064433408715,1.40089601308997,3.92991066662587,20.1125979205512,1.84421932792639,2.00736939717751,2.20895042568144,7.83005810614938,5.38878021357892,3.31549507854862,4.79825643574869,3.61067987525961,5.36658609801431,5.07261761785571,24.3645485144069,1.82166785928626,2.93995965395368,3.94211678458444,1.91151038979072,0.842982964531929,0.773428228680169,5.09552949490944,7.51140299627443,7.00238893161123,2.56265115725551,6.44217747814171
