"","PACE001","PACE003","PACE004","PACE005","PACE006","PACE007","PACE010","PACE011","PACE013","PACE014"
"WHAMMP3",10394.6945333864,7147.96310467705,4339.53424954128,3525.85306310881,4052.79214743431,5625.92153749265,5547.18162683092,6021.53724833694,4316.00160877459,5578.70258895407
"WIPF1",11035.3859989592,9709.15680480164,9742.356800735,11088.455668923,8580.16666750148,10489.2873765476,12389.741785368,10369.175308985,8890.26152519619,10584.1966494229
"WIPF2",151.700246256532,146.590188295948,309.012596878889,195.75714167418,343.866136001981,308.258590031595,349.842631381389,338.950409221676,567.045414616239,561.349041688973
"WIPI1",3109.8550482589,1564.00454743446,4052.78480805713,2994.93596675005,2917.5628491264,2229.81804232829,4300.69063569739,3235.11977198843,3950.36960256784,4850.53009966458
"WIPI2",516.426370235002,994.933919024039,826.408328252475,1110.03197381154,840.823359950049,662.230068086249,904.843381004207,1201.41731665837,1046.36721929804,920.296175388682
"WLS",11.2968268488907,118.023895192122,10.6863145894717,11.8640691923745,41.8056432468162,66.7489072903061,90.4278207124754,74.9971223857999,22.4572441432174,41.9035200134022
"WNK1",837.579019224893,1139.64474593158,1386.54931798395,1386.61308685877,1307.75117818562,1471.71227104323,1161.99749615531,1220.07513734948,1357.2596929057,1539.36138615272
"WRAP73",22.5936536977813,131.931169466353,11.576840805261,77.8579540749579,136.604355398047,63.1080578017439,5.9343257342562,31.6451272505936,199.308041771054,9.48758943699672
"WRB",2669.27880115217,1860.19190224782,2951.20387912576,1876.00594104422,3244.94225258034,2876.2710959641,1568.64010242172,1493.7231741523,3026.81543717802,3542.82402226519
"WRN",0,55.253224819242,0,16.313095139515,93.0322765210839,32.7676453970593,16.9552163835891,32.742646114776,1.40357775895109,30.8346656702394
"WRNIP1",4307.31869424131,3784.65796397924,6012.83300900939,3703.0725966699,3087.72948149724,3713.26193950133,5807.72678525874,5185.41079364062,3998.09124637217,3651.14066833757
"WSB1",372.795286013392,1047.55603789951,172.762085863125,361.1126060429,795.484845442939,514.57339438345,267.327244981256,224.442607725308,560.72931470096,302.812229530812
"WSB2",643.919130386768,846.088497061999,592.199933499888,1261.29885601432,1477.91781055646,2568.82158359663,849.456340817816,1499.942447716,1029.52428619062,891.042774624609
"WTAP",1441.15233943705,1927.47303995288,1550.40614168918,783.770071021242,2428.26017957563,1380.28649499712,1453.34463101332,796.067016153661,1179.00531751891,2139.45141804276
